Player,Wins,Losses,Win Percentage,Kills,Deaths,Assists,KDA,CS,Vision Score,Fantasy Score,Average Score,Total Kills of Team,Kill Participation,Minutes Played,CS/Min,Average Kills,Average Deaths,Average Assists,Kills/Minute,Deaths/Minute,Assists/Minute,Damage Dealt,DPM
Liam,3,6,0.333,83,52,96,3.442,2408,199,402.03000000000003,44.67,288,0.622,346,6.96,9.222,5.778,10.667,0.24,0.15,0.277,324415,937.616
Jason,2,2,0.5,36,23,36,3.13,1269,157,167.54000000000002,41.885,114,0.632,178,7.129,9.0,5.75,9.0,0.202,0.129,0.202,160838,903.584
Bobby,4,0,1.0,46,33,22,2.061,971,81,142.76,35.69,125,0.544,146,6.651,11.5,8.25,5.5,0.315,0.226,0.151,143990,986.233
Declan,4,5,0.444,61,36,73,3.722,1631,219,309.26,34.362,233,0.575,299,5.455,6.778,4.0,8.111,0.204,0.12,0.244,199266,666.441
Quio,8,6,0.571,89,73,144,3.192,3132,451,478.87,34.205,384,0.607,508,6.165,6.357,5.214,10.286,0.175,0.144,0.283,361442,711.5
Hubert,6,9,0.4,95,80,157,3.15,2463,524,504.83,33.655,420,0.6,548,4.495,6.333,5.333,10.467,0.173,0.146,0.286,290730,530.529
Basil,6,5,0.545,75,55,88,2.964,2420,304,350.4,31.855,331,0.492,389,6.221,6.818,5.0,8.0,0.193,0.141,0.226,267037,686.47
Jordan,4,4,0.5,66,45,47,2.511,1769,262,253.79,31.724,223,0.507,261,6.778,8.25,5.625,5.875,0.253,0.172,0.18,176812,677.441
Anthony,11,5,0.688,126,92,108,2.543,3599,393,499.64,31.227,448,0.522,579,6.216,7.875,5.75,6.75,0.218,0.159,0.187,388543,671.059
Sean,1,1,0.5,15,12,11,2.167,583,68,55.230000000000004,27.615,49,0.531,78,7.474,7.5,6.0,5.5,0.192,0.154,0.141,51660,662.308
Woosung,5,8,0.385,54,77,153,2.688,1628,600,337.28,25.945,369,0.561,472,3.449,4.154,5.923,11.769,0.114,0.163,0.324,194796,412.703
Sam,10,6,0.625,46,85,203,2.929,1884,850,396.34,24.771,453,0.55,579,3.254,2.875,5.312,12.688,0.079,0.147,0.351,246029,424.921
Jason Canto,0,2,0.0,5,10,25,3.0,223,98,47.13,23.565,59,0.508,75,2.973,2.5,5.0,12.5,0.067,0.133,0.333,27831,371.08
Eunice,1,2,0.333,9,15,30,2.6,495,186,65.25,21.75,61,0.639,114,4.342,3.0,5.0,10.0,0.079,0.132,0.263,48592,426.246
Cobi,7,6,0.538,50,77,129,2.325,1678,371,262.33,20.179,358,0.5,481,3.489,3.846,5.923,9.923,0.104,0.16,0.268,222567,462.717
Ryan,1,2,0.333,10,18,19,1.611,402,139,34.97,11.657,61,0.475,114,3.526,3.333,6.0,6.333,0.088,0.158,0.167,41281,362.114
Chris,3,5,0.375,14,31,50,2.065,1482,241,89.87,11.234,180,0.356,304,4.875,1.75,3.875,6.25,0.046,0.102,0.164,97519,320.786
Miggy,4,6,0.4,29,69,89,1.71,1113,179,107.08000000000001,10.708,293,0.403,384,2.898,2.9,6.9,8.9,0.076,0.18,0.232,99942,260.266
Hunter,2,2,0.5,10,16,15,1.562,543,73,31.080000000000005,7.77,91,0.275,125,4.344,2.5,4.0,3.75,0.08,0.128,0.12,50188,401.504
Meagan,0,1,0.0,2,6,6,1.333,24,71,5.79,5.79,12,0.667,36,0.667,2.0,6.0,6.0,0.056,0.167,0.167,12410,344.722
Bwosley,3,2,0.6,16,34,21,1.088,836,135,19.109999999999996,3.822,133,0.278,184,4.543,3.2,6.8,4.2,0.087,0.185,0.114,57670,313.424
