Player,Wins,Losses,Win Percentage,Kills,Deaths,Assists,KDA,CS,Vision Score,Fantasy Score,Average Score,Total Kills of Team,Kill Participation,Minutes Played,CS/Min,Average Kills,Average Deaths,Average Assists,Kills/Minute,Deaths/Minute,Assists/Minute,Damage Dealt,DPM
Liam,3,6,0.333,83,52,96,3.442,2408,199,402.03000000000003,44.67,288,0.622,346,6.96,9.222,5.778,10.667,0.24,0.15,0.277,324415,937.616
Jason,4,2,0.667,43,27,61,3.852,1512,285,242.37000000000003,40.395,179,0.581,241,6.274,7.167,4.5,10.167,0.178,0.112,0.253,185289,768.834
Bobby,4,0,1.0,46,33,22,2.061,971,81,142.76,35.69,125,0.544,146,6.651,11.5,8.25,5.5,0.315,0.226,0.151,143990,986.233
Quio,8,6,0.571,89,73,144,3.192,3132,451,478.87,34.205,384,0.607,508,6.165,6.357,5.214,10.286,0.175,0.144,0.283,361442,711.5
Jordan,6,4,0.6,82,52,64,2.808,2279,321,338.84,33.884,288,0.507,324,7.034,8.2,5.2,6.4,0.253,0.16,0.198,214540,662.16
Anthony,13,5,0.722,147,103,124,2.631,4003,437,588.88,32.716,513,0.528,642,6.235,8.167,5.722,6.889,0.229,0.16,0.193,427345,665.646
Basil,6,5,0.545,75,55,88,2.964,2420,304,350.4,31.855,331,0.492,389,6.221,6.818,5.0,8.0,0.193,0.141,0.226,267037,686.47
Jason Canto,2,2,0.5,21,18,39,3.333,589,129,120.34,30.085,124,0.484,138,4.268,5.25,4.5,9.75,0.152,0.13,0.283,63475,459.964
Stephanie,0,2,0.0,15,10,12,2.7,415,28,59.550000000000004,29.775,38,0.711,63,6.587,7.5,5.0,6.0,0.238,0.159,0.19,45061,715.254
Hubert,6,11,0.353,101,96,167,2.792,2798,548,505.38,29.728,458,0.585,611,4.579,5.941,5.647,9.824,0.165,0.157,0.273,322011,527.023
Sean,1,1,0.5,15,12,11,2.167,583,68,55.230000000000004,27.615,49,0.531,78,7.474,7.5,6.0,5.5,0.192,0.154,0.141,51660,662.308
Declan,4,7,0.364,61,46,82,3.109,1968,271,303.22999999999996,27.566,271,0.528,362,5.436,5.545,4.182,7.455,0.169,0.127,0.227,223770,618.149
Woosung,5,10,0.333,69,89,163,2.607,1825,690,387.74999999999994,25.85,407,0.57,535,3.411,4.6,5.933,10.867,0.129,0.166,0.305,224054,418.793
Sam,10,8,0.556,48,102,219,2.618,2012,961,392.16999999999996,21.787,491,0.544,642,3.134,2.667,5.667,12.167,0.075,0.159,0.341,257730,401.449
Eunice,1,2,0.333,9,15,30,2.6,495,186,65.25,21.75,61,0.639,114,4.342,3.0,5.0,10.0,0.079,0.132,0.263,48592,426.246
Cobi,9,6,0.6,55,85,158,2.506,1905,410,320.55,21.37,423,0.504,544,3.502,3.667,5.667,10.533,0.101,0.156,0.29,248944,457.618
Ryan,1,2,0.333,10,18,19,1.611,402,139,34.97,11.657,61,0.475,114,3.526,3.333,6.0,6.333,0.088,0.158,0.167,41281,362.114
Chris,3,5,0.375,14,31,50,2.065,1482,241,89.87,11.234,180,0.356,304,4.875,1.75,3.875,6.25,0.046,0.102,0.164,97519,320.786
Miggy,4,6,0.4,29,69,89,1.71,1113,179,107.08000000000001,10.708,293,0.403,384,2.898,2.9,6.9,8.9,0.076,0.18,0.232,99942,260.266
Hunter,2,2,0.5,10,16,15,1.562,543,73,31.080000000000005,7.77,91,0.275,125,4.344,2.5,4.0,3.75,0.08,0.128,0.12,50188,401.504
Meagan,0,1,0.0,2,6,6,1.333,24,71,5.79,5.79,12,0.667,36,0.667,2.0,6.0,6.0,0.056,0.167,0.167,12410,344.722
Bwosley,3,2,0.6,16,34,21,1.088,836,135,19.109999999999996,3.822,133,0.278,184,4.543,3.2,6.8,4.2,0.087,0.185,0.114,57670,313.424
