Player,Wins,Losses,Win Percentage,Kills,Deaths,Assists,KDA,CS,Vision Score,Average Vision Score,Fantasy Score,Average Score,Total Kills of Team,Kill Participation,Minutes Played,CS/Min,Average Kills,Average Deaths,Average Assists,Kills/Minute,Deaths/Minute,Assists/Minute,Damage Dealt,DPM
Liam,3,6,0.333,83,52,96,3.442,2408,199,22.111,402.03000000000003,44.67,288,0.622,346,6.96,9.222,5.778,10.667,0.24,0.15,0.277,324415,937.616
Bobby,8,1,0.889,92,63,69,2.556,1933,172,19.111,344.93,38.326,310,0.519,303,6.38,10.222,7.0,7.667,0.304,0.208,0.228,308385,1017.772
Jason,7,5,0.583,82,55,110,3.491,2991,479,39.917,436.86000000000007,36.405,333,0.577,442,6.767,6.833,4.583,9.167,0.186,0.124,0.249,309038,699.181
Jordan,10,8,0.556,150,102,124,2.686,3916,535,29.722,607.91,33.773,523,0.524,565,6.931,8.333,5.667,6.889,0.265,0.181,0.219,363338,643.076
Anthony,14,10,0.583,202,133,157,2.699,5398,597,24.875,806.8299999999999,33.618,657,0.546,848,6.366,8.417,5.542,6.542,0.238,0.157,0.185,556519,656.272
Jason Canto,8,4,0.667,65,44,117,4.136,2278,278,23.167,398.68,33.223,362,0.503,405,5.625,5.417,3.667,9.75,0.16,0.109,0.289,233055,575.444
Quio,13,12,0.52,169,137,229,2.905,5542,723,28.92,814.5700000000002,32.583,690,0.577,860,6.444,6.76,5.48,9.16,0.197,0.159,0.266,648947,754.59
Nathan,2,1,0.667,23,16,21,2.75,507,53,17.667,93.72,31.24,120,0.367,91,5.571,7.667,5.333,7.0,0.253,0.176,0.231,58084,638.286
Stephanie,0,2,0.0,15,10,12,2.7,415,28,14.0,59.550000000000004,29.775,38,0.711,63,6.587,7.5,5.0,6.0,0.238,0.159,0.19,45061,715.254
Sean,1,1,0.5,15,12,11,2.167,583,68,34.0,55.230000000000004,27.615,49,0.531,78,7.474,7.5,6.0,5.5,0.192,0.154,0.141,51660,662.308
Declan,4,7,0.364,61,46,82,3.109,1968,271,24.636,303.22999999999996,27.566,271,0.528,362,5.436,5.545,4.182,7.455,0.169,0.127,0.227,223770,618.149
Hubert,9,16,0.36,150,149,221,2.49,3900,769,30.76,672.4499999999999,26.898,673,0.551,852,4.577,6.0,5.96,8.84,0.176,0.175,0.259,459144,538.901
xTiny,2,0,1.0,14,12,14,2.333,348,34,17.0,53.18,26.59,65,0.431,66,5.273,7.0,6.0,7.0,0.212,0.182,0.212,26835,406.591
Basil,11,9,0.55,127,111,134,2.351,4311,496,24.8,510.9100000000001,25.546,583,0.448,684,6.303,6.35,5.55,6.7,0.186,0.162,0.196,415660,607.69
Woosung,10,16,0.385,108,142,266,2.634,2864,1194,45.923,626.3399999999999,24.09,717,0.522,891,3.214,4.154,5.462,10.231,0.121,0.159,0.299,357531,401.269
Cobi,14,12,0.538,127,154,233,2.338,3623,597,22.962,578.08,22.234,733,0.491,900,4.026,4.885,5.923,8.962,0.141,0.171,0.259,460430,511.589
Eunice,1,2,0.333,9,15,30,2.6,495,186,62.0,65.25,21.75,61,0.639,114,4.342,3.0,5.0,10.0,0.079,0.132,0.263,48592,426.246
Wilfred,3,2,0.6,30,29,29,2.034,1198,95,19.0,107.72999999999999,21.546,143,0.413,174,6.885,6.0,5.8,5.8,0.172,0.167,0.167,97872,562.483
Sam,16,13,0.552,83,165,335,2.533,3292,1451,50.034,612.4699999999999,21.12,831,0.503,994,3.312,2.862,5.69,11.552,0.084,0.166,0.337,418892,421.421
Meagan,2,1,0.667,9,19,34,2.263,117,201,67.0,58.22,19.407,77,0.558,102,1.147,3.0,6.333,11.333,0.088,0.186,0.333,46144,452.392
Ryan,1,2,0.333,10,18,19,1.611,402,139,46.333,34.97,11.657,61,0.475,114,3.526,3.333,6.0,6.333,0.088,0.158,0.167,41281,362.114
Chris,4,5,0.444,17,35,54,2.029,1692,254,28.222,100.62,11.18,211,0.336,333,5.081,1.889,3.889,6.0,0.051,0.105,0.162,107306,322.24
Miggy,7,14,0.333,53,142,170,1.57,2403,444,21.143,172.23000000000002,8.201,549,0.406,740,3.247,2.524,6.762,8.095,0.072,0.192,0.23,213641,288.704
Bwosley,3,2,0.6,16,34,21,1.088,836,135,27.0,19.109999999999996,3.822,133,0.278,184,4.543,3.2,6.8,4.2,0.087,0.185,0.114,57670,313.424
Hunter,2,4,0.333,11,29,25,1.241,742,136,22.667,21.220000000000006,3.537,127,0.283,189,3.926,1.833,4.833,4.167,0.058,0.153,0.132,73600,389.418
