Player,Wins,Losses,Win Percentage,Kills,Deaths,Assists,KDA,CS,Vision Score,Fantasy Score,Average Score,Total Kills of Team,Kill Participation,Minutes Played,CS/Min,Average Kills,Average Deaths,Average Assists,Kills/Minute,Deaths/Minute,Assists/Minute,Damage Dealt,DPM
Bobby,2,0,1.0,36,16,10,2.875,414,46,122.44,61.22,69,0.667,71,5.831,18.0,8.0,5.0,0.507,0.225,0.141,81527,1148.268
Liam,3,4,0.429,72,45,80,3.378,1855,164,339.75,48.536,229,0.664,271,6.845,10.286,6.429,11.429,0.266,0.166,0.295,254745,940.018
Jason,2,2,0.5,36,23,36,3.13,1269,157,167.54000000000002,41.885,114,0.632,178,7.129,9.0,5.75,9.0,0.202,0.129,0.202,160838,903.584
Quio,6,6,0.5,81,60,123,3.4,2584,396,435.64,36.303,328,0.622,433,5.968,6.75,5.0,10.25,0.187,0.139,0.284,293790,678.499
Jordan,4,2,0.667,53,30,36,2.967,1284,208,217.24,36.207,164,0.543,186,6.903,8.833,5.0,6.0,0.285,0.161,0.194,112280,603.656
Declan,4,5,0.444,61,36,73,3.722,1631,219,309.26,34.362,233,0.575,299,5.455,6.778,4.0,8.111,0.204,0.12,0.244,199266,666.441
Hubert,6,7,0.462,78,70,143,3.157,2004,471,431.59,33.199,361,0.612,473,4.237,6.0,5.385,11.0,0.165,0.148,0.302,240504,508.465
Anthony,9,5,0.643,110,82,90,2.439,3056,353,422.21,30.158,392,0.51,504,6.063,7.857,5.857,6.429,0.218,0.163,0.179,337140,668.929
Basil,4,5,0.444,54,47,71,2.66,1948,251,249.03,27.67,275,0.455,314,6.204,6.0,5.222,7.889,0.172,0.15,0.226,208910,665.318
Sean,1,1,0.5,15,12,11,2.167,583,68,55.230000000000004,27.615,49,0.531,78,7.474,7.5,6.0,5.5,0.192,0.154,0.141,51660,662.308
Woosung,5,8,0.385,54,77,153,2.688,1628,600,337.28,25.945,369,0.561,472,3.449,4.154,5.923,11.769,0.114,0.163,0.324,194796,412.703
Sam,8,6,0.571,45,74,168,2.878,1816,697,347.01,24.786,397,0.537,504,3.603,3.214,5.286,12.0,0.089,0.147,0.333,229817,455.986
Eunice,1,2,0.333,9,15,30,2.6,495,186,65.25,21.75,61,0.639,114,4.342,3.0,5.0,10.0,0.079,0.132,0.263,48592,426.246
Cobi,7,4,0.636,37,63,113,2.381,1391,318,214.81,19.528,299,0.502,406,3.426,3.364,5.727,10.273,0.091,0.155,0.278,182270,448.941
Ryan,1,2,0.333,10,18,19,1.611,402,139,34.97,11.657,61,0.475,114,3.526,3.333,6.0,6.333,0.088,0.158,0.167,41281,362.114
Chris,3,5,0.375,14,31,50,2.065,1482,241,89.87,11.234,180,0.356,304,4.875,1.75,3.875,6.25,0.046,0.102,0.164,97519,320.786
Miggy,4,6,0.4,29,69,89,1.71,1113,179,107.08000000000001,10.708,293,0.403,384,2.898,2.9,6.9,8.9,0.076,0.18,0.232,99942,260.266
Hunter,2,2,0.5,10,16,15,1.562,543,73,31.080000000000005,7.77,91,0.275,125,4.344,2.5,4.0,3.75,0.08,0.128,0.12,50188,401.504
Meagan,0,1,0.0,2,6,6,1.333,24,71,5.79,5.79,12,0.667,36,0.667,2.0,6.0,6.0,0.056,0.167,0.167,12410,344.722
Bwosley,3,2,0.6,16,34,21,1.088,836,135,19.109999999999996,3.822,133,0.278,184,4.543,3.2,6.8,4.2,0.087,0.185,0.114,57670,313.424
