Player,Champion,Pick Ban,Blue Red,Order,Series #,Game #,Kills,Deaths,Assists,CS,Vision Score,Fantasy Score,Damage Dealt
,Malphite,Ban,Blue,1,4,2,,,,,,0,
,Blitzcrank,Ban,Red,1,4,2,,,,,,0,
,Rengar,Ban,Blue,2,4,2,,,,,,0,
,Graves,Ban,Red,2,4,2,,,,,,0,
,Trundle,Ban,Blue,3,4,2,,,,,,0,
,Nautilus,Ban,Red,3,4,2,,,,,,0,
Anthony,Jhin,Pick,Blue,1,4,2,3,1,6,109,10,22.59,7970
Hubert,Ezreal,Pick,Red,1,4,2,2,3,3,106,5,6.31,7910
Hunter,Leona,Pick,Red,1,4,2,0,3,5,23,8,1.63,3741
Chris,Alistar,Pick,Blue,2,4,2,0,3,3,22,14,-2.08,3019
Quio,Xerath,Pick,Blue,2,4,2,9,0,5,136,8,47.76,14273
Declan,Anivia,Pick,Red,2,4,2,0,3,0,136,7,-7.29,1126
,Vladimir,Ban,Red,4,4,2,,,,,,0,
,Hecarim,Ban,Blue,4,4,2,,,,,,0,
,Dr. Mundo,Ban,Red,5,4,2,,,,,,0,
,Kled,Ban,Blue,5,4,2,,,,,,0,
Woosung,Xin Zhao,Pick,Red,3,4,2,3,3,0,110,14,4.8,6413
Sam,Amumu,Pick,Blue,3,4,2,2,1,9,86,20,24.86,5322
Cobi,Garen,Pick,Blue,3,4,2,4,3,1,105,36,11.85,9582
Jordan,Jarvan IV,Pick,Red,4,4,2,3,6,4,109,16,3.89,8380
,,,,,,,,,,,,,
,Sion,Ban,Blue,1,4,3,,,,,,0,
,Malphite,Ban,Red,1,4,3,,,,,,0,
,Blitzcrank,Ban,Blue,2,4,3,,,,,,0,
,Rengar,Ban,Red,2,4,3,,,,,,0,
,Graves,Ban,Blue,3,4,3,,,,,,0,
,Hecarim,Ban,Red,3,4,3,,,,,,0,
Jordan,Draven,Pick,Blue,1,4,3,14,3,8,247,27,66.82,33130
Sam,Amumu,Pick,Red,1,4,3,7,6,9,179,33,31.44,24843
Chris,Nautilus,Pick,Red,1,4,3,2,5,7,57,56,10.37,9921
Woosung,Alistar,Pick,Blue,2,4,3,0,6,22,43,55,29.18,8899
Hubert,Sejuani,Pick,Blue,2,4,3,2,4,21,196,33,41.61,12926
Quio,Ezreal,Pick,Red,2,4,3,2,7,9,240,25,8.65,23864
,Illaoi,Ban,Red,4,4,3,,,,,,0,
,Akali,Ban,Blue,4,4,3,,,,,,0,
,Vladimir,Ban,Red,5,4,3,,,,,,0,
,Urgot,Ban,Blue,5,4,3,,,,,,0,
Anthony,Tristana,Pick,Red,3,4,3,5,8,5,206,24,9.26,20907
Hunter,Garen,Pick,Blue,3,4,3,6,4,2,222,27,19.57,21084
Declan,Syndra,Pick,Blue,3,4,3,10,5,10,189,23,48.04,26618
Cobi,Mordekaiser,Pick,Red,4,4,3,6,6,7,196,10,22.46,27059
,,,,,,,,,,,,,
,Malphite,Ban,Blue,1,5,1,,,,,,0,
,Rengar,Ban,Red,1,5,1,,,,,,0,
,Blitzcrank,Ban,Blue,2,5,1,,,,,,0,
,Garen,Ban,Red,2,5,1,,,,,,0,
,Nilah,Ban,Blue,3,5,1,,,,,,0,
,Kai'sa,Ban,Red,3,5,1,,,,,,0,
Sam,Morgana,Pick,Blue,1,5,1,2,4,12,50,79,24.45,17232
Anthony,Jhin,Pick,Red,1,5,1,8,3,9,216,24,44.36,19966
Woosung,Lux,Pick,Red,1,5,1,6,6,10,49,78,30.39,17709
Hubert,Ezreal,Pick,Blue,2,5,1,11,4,5,207,11,44.62,25711
Quio,Graves,Pick,Blue,2,5,1,6,9,8,257,34,17.27,25122
Liam,Bel'veth,Pick,Red,2,5,1,6,5,13,253,19,38.48,18343
,Kled,Ban,Red,4,5,1,,,,,,0,
,Kennen,Ban,Blue,4,5,1,,,,,,0,
,Swain,Ban,Red,5,5,1,,,,,,0,
,Xin Zhao,Ban,Blue,5,5,1,,,,,,0,
Cobi,Mordekaiser,Pick,Red,3,5,1,6,4,11,183,18,36.73,27718
Hunter,Urgot,Pick,Blue,3,5,1,1,6,3,211,22,-4.79,15283
Miggy,Vex,Pick,Blue,3,5,1,0,6,6,161,9,-3.94,11697
Chris,Fizz,Pick,Red,4,5,1,3,2,5,190,24,19.1,7371
,,,,,,,,,,,,,
,Singed,Ban,Blue,1,5,2,,,,,,0,
,Malphite,Ban,Red,1,5,2,,,,,,0,
,Rengar,Ban,Blue,2,5,2,,,,,,0,
,Bel'veth,Ban,Red,2,5,2,,,,,,0,
,Graves,Ban,Blue,3,5,2,,,,,,0,
,Nilah,Ban,Red,3,5,2,,,,,,0,
Liam,Kai'sa,Pick,Blue,1,5,2,13,6,14,454,37,68.39,100643
Quio,Ezreal,Pick,Red,1,5,2,14,5,21,215,65,88.4,92134
Miggy,Galio,Pick,Red,1,5,2,4,9,19,215,18,30.05,22371
Woosung,Alistar,Pick,Blue,2,5,2,0,13,21,62,100,8.62,14572
Anthony,Jayce,Pick,Blue,2,5,2,14,13,9,309,62,41.19,71193
Hubert,Thresh,Pick,Red,2,5,2,4,8,27,37,155,54.12,21204
,Mordekaiser,Ban,Red,4,5,2,,,,,,0,
,Xin Zhao,Ban,Blue,4,5,2,,,,,,0,
,Zed,Ban,Red,5,5,2,,,,,,0,
,Jarvan IV,Ban,Blue,5,5,2,,,,,,0,
Sam,Amumu,Pick,Red,3,5,2,8,10,19,274,57,45.59,42772
Chris,Trundle,Pick,Blue,3,5,2,3,9,20,391,57,31.76,25322
Cobi,Garen,Pick,Blue,3,5,2,11,9,8,435,36,39.15,45490
Jason,Gangplank,Pick,Red,4,5,2,20,9,9,534,34,78.04,96769
,,,,,,,,,,,,,
,Nilah,Ban,Blue,1,6,1,,,,,,0,
,Lux,Ban,Red,1,6,1,,,,,,0,
,Malphite,Ban,Blue,2,6,1,,,,,,0,
,Ezreal,Ban,Red,2,6,1,,,,,,0,
,Hecarim,Ban,Blue,3,6,1,,,,,,0,
,Rengar,Ban,Red,3,6,1,,,,,,0,
Declan,Orianna,Pick,Blue,1,6,1,10,2,12,188,27,61.23,24107
Miggy,Galio,Pick,Red,1,6,1,0,7,4,124,7,-11.41,6729
Anthony,Vayne,Pick,Red,1,6,1,3,7,1,189,15,-4.36,22332
Quio,Xayah,Pick,Blue,2,6,1,8,2,18,234,23,65.49,21391
Sam,Swain,Pick,Blue,2,6,1,6,0,15,27,66,57.57,16653
Hubert,Milio,Pick,Red,2,6,1,0,6,3,9,50,-9.41,3590
,Jarvan IV,Ban,Red,4,6,1,,,,,,0,
,Trundle,Ban,Blue,4,6,1,,,,,,0,
,Amumu,Ban,Red,5,6,1,,,,,,0,
,Mordekaiser,Ban,Blue,5,6,1,,,,,,0,
Liam,Bel'veth,Pick,Red,3,6,1,5,11,5,188,18,-0.22,11918
Woosung,Vi,Pick,Blue,3,6,1,10,5,13,202,24,54.22,24718
Basil,Gnar,Pick,Blue,3,6,1,3,6,8,162,16,12.42,17749
Jordan,Tryndamere,Pick,Red,4,6,1,7,6,1,234,30,15.84,20602
,,,,,,,,,,,,,
,Malphite,Ban,Blue,1,6,2,,,,,,0,
,Nilah,Ban,Red,1,6,2,,,,,,0,
,Ezreal,Ban,Blue,2,6,2,,,,,,0,
,Hecarim,Ban,Red,2,6,2,,,,,,0,
,Jarvan IV,Ban,Blue,3,6,2,,,,,,0,
,Trundle,Ban,Red,3,6,2,,,,,,0,
Jordan,Rengar,Pick,Blue,1,6,2,8,8,4,232,66,21.62,20338
Declan,Orianna,Pick,Red,1,6,2,4,5,9,162,18,21.52,17382
Sam,Swain,Pick,Red,1,6,2,5,11,8,25,51,5.8,14451
Miggy,Vex,Pick,Blue,2,6,2,5,2,9,115,15,33.9,9035
Liam,Varus,Pick,Blue,2,6,2,20,2,9,262,19,95.57,44100
Quio,Xayah,Pick,Red,2,6,2,6,9,4,183,22,7.93,9772
,N/A,Ban,Red,4,6,2,,,,,,0,
,Vi,Ban,Blue,4,6,2,,,,,,0,
,Mordekaiser,Ban,Red,5,6,2,,,,,,0,
,Amumu,Ban,Blue,5,6,2,,,,,,0,
Basil,Riven,Pick,Red,3,6,2,3,7,3,174,16,-0.46,10403
Hubert,Blitzcrank,Pick,Blue,3,6,2,2,6,21,20,52,34.8,8142
Anthony,Fiora,Pick,Blue,3,6,2,3,5,4,210,20,8.1,11015
Woosung,Sejuani,Pick,Red,4,6,2,5,6,8,142,22,20.52,10583
,,,,,,,,,,,,,
,Nilah,Ban,Blue,1,6,3,,,,,,0,
,Malphite,Ban,Red,1,6,3,,,,,,0,
,Rengar,Ban,Blue,2,6,3,,,,,,0,
,Ezreal,Ban,Red,2,6,3,,,,,,0,
,Blitzcrank,Ban,Blue,3,6,3,,,,,,0,
,Xayah,Ban,Red,3,6,3,,,,,,0,
Declan,Syndra,Pick,Blue,1,6,3,11,6,14,203,29,57.48,44757
Jordan,Trundle,Pick,Red,1,6,3,12,5,9,249,33,55.14,21774
Anthony,Quinn,Pick,Red,1,6,3,7,9,12,205,32,28.65,23523
Sam,Nautilus,Pick,Blue,2,6,3,0,9,20,29,72,16.89,11641
Quio,Caitlyn,Pick,Blue,2,6,3,11,7,11,236,26,48.66,28203
Hubert,Vi,Pick,Red,2,6,3,1,12,12,48,62,-4.42,8172
,Jarvan IV,Ban,Red,4,6,3,,,,,,0,
,Kai'sa,Ban,Blue,4,6,3,,,,,,0,
,Kayn,Ban,Red,5,6,3,,,,,,0,
,Varus,Ban,Blue,5,6,3,,,,,,0,
Miggy,Seraphine,Pick,Red,3,6,3,6,4,17,167,8,48.07,14349
Basil,Irelia,Pick,Blue,3,6,3,10,9,6,252,27,28.87,30386
Woosung,Xin Zhao,Pick,Blue,3,6,3,6,9,8,226,26,16.56,15502
Liam,Lillia,Pick,Red,4,6,3,14,8,15,274,26,66.04,41688
,,,,,,,,,,,,,
,Nilah,Ban,Blue,1,7,1,,,,,,0,
,Yasuo,Ban,Red,1,7,1,,,,,,0,
,Bel'veth,Ban,Blue,2,7,1,,,,,,0,
,Malphite,Ban,Red,2,7,1,,,,,,0,
,Riven,Ban,Blue,3,7,1,,,,,,0,
,Mordekaiser,Ban,Red,3,7,1,,,,,,0,
Anthony,Kai'sa,Pick,Blue,1,7,1,15,9,8,248,30,52.98,35301
Hubert,Jinx,Pick,Red,1,7,1,16,10,14,249,17,65.34,43018
Miggy,Vex,Pick,Red,1,7,1,7,12,13,109,10,19.59,16211
Cobi,Blitzcrank,Pick,Blue,2,7,1,2,7,22,28,40,33.28,11798
Sam,Amumu,Pick,Blue,2,7,1,3,8,19,174,34,29.44,20990
Woosung,Morgana,Pick,Red,2,7,1,4,8,17,46,76,30.26,22161
,Akali,Ban,Red,4,7,1,,,,,,0,
,Gnar,Ban,Blue,4,7,1,,,,,,0,
,Ahri,Ban,Red,5,7,1,,,,,,0,
,Jarvan IV,Ban,Blue,5,7,1,,,,,,0,
Basil,K'Sante,Pick,Red,3,7,1,6,7,14,182,32,34.42,28650
Bobby,Quinn,Pick,Blue,3,7,1,23,10,8,172,28,81.12,43997
Bwosley,Illaoi,Pick,Blue,3,7,1,3,9,4,237,21,-3.58,22178
Liam,Viego,Pick,Red,4,7,1,10,9,14,192,21,43.97,22340
,,,,,,,,,,,,,
,Blitzcrank,Ban,Blue,1,7,2,,,,,,0,
,Nilah,Ban,Red,1,7,2,,,,,,0,
,Quinn,Ban,Blue,2,7,2,,,,,,0,
,Bel'veth,Ban,Red,2,7,2,,,,,,0,
,Yasuo,Ban,Blue,3,7,2,,,,,,0,
,Malphite,Ban,Red,3,7,2,,,,,,0,
Liam,Taliyah,Pick,Blue,1,7,2,4,4,10,232,24,27.52,15713
Anthony,Jhin,Pick,Red,1,7,2,1,3,10,250,15,18.25,15520
Bwosley,Nautilus,Pick,Red,1,7,2,1,8,7,29,33,-4.06,4617
Hubert,Xayah,Pick,Blue,2,7,2,10,4,6,240,6,42.7,24161
Woosung,Alistar,Pick,Blue,2,7,2,5,4,13,46,64,37.66,11659
Sam,Amumu,Pick,Red,2,7,2,2,6,6,186,43,6.01,9402
,Riven,Ban,Red,4,7,2,,,,,,0,
,Akali,Ban,Blue,4,7,2,,,,,,0,
,Viego,Ban,Red,5,7,2,,,,,,0,
,Ahri,Ban,Blue,5,7,2,,,,,,0,
Bobby,Viktor,Pick,Red,3,7,2,13,6,2,242,18,41.32,37530
Miggy,Seraphine,Pick,Blue,3,7,2,2,5,5,155,7,4.9,4982
Basil,Jax,Pick,Blue,3,7,2,2,6,5,211,26,3.41,16049
Cobi,Garen,Pick,Red,4,7,2,6,1,3,46,12,28.06,23626
