Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Rengar,2.0,12.0,1.0,0.824,0.118,0.706,0.5
Riven,1.0,6.0,0.0,0.412,0.059,0.353,0.0
Sejuani,3.0,0.0,1.0,0.176,0.176,0.0,0.333
Seraphine,4.0,0.0,2.0,0.235,0.235,0.0,0.5
Shaco,1.0,0.0,1.0,0.059,0.059,0.0,1.0
Shyvana,1.0,0.0,1.0,0.059,0.059,0.0,1.0
Singed,0.0,3.0,0.0,0.176,0.0,0.176,0.0
Sion,1.0,1.0,1.0,0.118,0.059,0.059,1.0
Sivir,1.0,0.0,1.0,0.059,0.059,0.0,1.0
Swain,4.0,2.0,3.0,0.353,0.235,0.118,0.75
Syndra,3.0,0.0,1.0,0.176,0.176,0.0,0.333
Taliyah,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Thresh,2.0,0.0,1.0,0.118,0.118,0.0,0.5
Tristana,1.0,1.0,0.0,0.118,0.059,0.059,0.0
Trundle,3.0,7.0,2.0,0.588,0.176,0.412,0.667
Tryndamere,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Udyr,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Urgot,1.0,1.0,0.0,0.118,0.059,0.059,0.0
Varus,1.0,1.0,1.0,0.118,0.059,0.059,1.0
Vayne,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Veigar,1.0,0.0,1.0,0.059,0.059,0.0,1.0
Vex,3.0,0.0,1.0,0.176,0.176,0.0,0.333
Vi,4.0,3.0,2.0,0.412,0.235,0.176,0.5
Viego,1.0,1.0,0.0,0.118,0.059,0.059,0.0
Viktor,1.0,1.0,1.0,0.118,0.059,0.059,1.0
Vladimir,1.0,2.0,1.0,0.176,0.059,0.118,1.0
Xayah,4.0,3.0,1.0,0.412,0.235,0.176,0.25
Xerath,1.0,0.0,1.0,0.059,0.059,0.0,1.0
Xin Zhao,2.0,6.0,0.0,0.471,0.118,0.353,0.0
Yasuo,1.0,4.0,1.0,0.294,0.059,0.235,1.0
Zac,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Zed,0.0,1.0,0.0,0.059,0.0,0.059,0.0
Ziggs,2.0,0.0,0.0,0.118,0.118,0.0,0.0
