Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Ahri,3.0,2.0,0.0,0.294,0.176,0.118,0.0
Akali,0.0,4.0,0.0,0.235,0.0,0.235,0.0
Alistar,4.0,0.0,2.0,0.235,0.235,0.0,0.5
Amumu,6.0,5.0,4.0,0.647,0.353,0.294,0.667
Anivia,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Annie,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Ashe,1.0,1.0,1.0,0.118,0.059,0.059,1.0
Bel'veth,2.0,4.0,1.0,0.353,0.118,0.235,0.5
Blitzcrank,6.0,7.0,5.0,0.765,0.353,0.412,0.833
Caitlyn,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Cho'gath,0.0,1.0,0.0,0.059,0.0,0.059,0.0
Diana,1.0,2.0,1.0,0.176,0.059,0.118,1.0
Dr. Mundo,1.0,1.0,0.0,0.118,0.059,0.059,0.0
Draven,1.0,0.0,1.0,0.059,0.059,0.0,1.0
Ezreal,5.0,3.0,1.0,0.471,0.294,0.176,0.2
Fiora,2.0,1.0,1.0,0.176,0.118,0.059,0.5
Fizz,1.0,0.0,1.0,0.059,0.059,0.0,1.0
Galio,2.0,0.0,1.0,0.118,0.118,0.0,0.5
Gangplank,1.0,1.0,1.0,0.118,0.059,0.059,1.0
Garen,5.0,3.0,3.0,0.471,0.294,0.176,0.6
Gnar,3.0,2.0,3.0,0.294,0.176,0.118,1.0
Gragas,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Graves,2.0,4.0,0.0,0.353,0.118,0.235,0.0
Hecarim,1.0,5.0,1.0,0.353,0.059,0.294,1.0
Illaoi,2.0,1.0,1.0,0.176,0.118,0.059,0.5
Irelia,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Jarvan IV,3.0,8.0,2.0,0.647,0.176,0.471,0.667
Jax,2.0,2.0,1.0,0.235,0.118,0.118,0.5
Jayce,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Jhin,6.0,3.0,5.0,0.529,0.353,0.176,0.833
Jinx,5.0,0.0,3.0,0.294,0.294,0.0,0.6
K'Sante,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Kai'sa,5.0,5.0,2.0,0.588,0.294,0.294,0.4
Kayn,0.0,1.0,0.0,0.059,0.0,0.059,0.0
Kennen,2.0,1.0,0.0,0.176,0.118,0.059,0.0
Kha'zix,0.0,1.0,0.0,0.059,0.0,0.059,0.0
Kindred,2.0,1.0,2.0,0.176,0.118,0.059,1.0
Kled,0.0,3.0,0.0,0.176,0.0,0.176,0.0
Leona,3.0,0.0,1.0,0.176,0.176,0.0,0.333
Lillia,1.0,0.0,1.0,0.059,0.059,0.0,1.0
Lux,2.0,1.0,2.0,0.176,0.118,0.059,1.0
Malphite,2.0,14.0,2.0,0.941,0.118,0.824,1.0
Malzahar,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Maokai,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Milio,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Mordekaiser,3.0,6.0,1.0,0.529,0.176,0.353,0.333
Morgana,6.0,1.0,2.0,0.412,0.353,0.059,0.333
Nami,1.0,1.0,0.0,0.118,0.059,0.059,0.0
Nautilus,4.0,1.0,2.0,0.294,0.235,0.059,0.5
Neeko,1.0,0.0,1.0,0.059,0.059,0.0,1.0
Nilah,0.0,9.0,0.0,0.529,0.0,0.529,0.0
Nocturne,0.0,1.0,0.0,0.059,0.0,0.059,0.0
Orianna,2.0,1.0,1.0,0.176,0.118,0.059,0.5
Ornn,1.0,0.0,1.0,0.059,0.059,0.0,1.0
Pantheon,0.0,3.0,0.0,0.176,0.0,0.176,0.0
Pyke,1.0,0.0,0.0,0.059,0.059,0.0,0.0
Qiyana,1.0,1.0,1.0,0.118,0.059,0.059,1.0
Quinn,2.0,2.0,2.0,0.235,0.118,0.118,1.0
Rakan,1.0,0.0,0.0,0.059,0.059,0.0,0.0
