Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Aatrox,2.0,2.0,0.0,0.129,0.065,0.065,0.0
Ahri,3.0,2.0,0.0,0.161,0.097,0.065,0.0
Akali,1.0,4.0,1.0,0.161,0.032,0.129,1.0
Akshan,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Alistar,6.0,1.0,3.0,0.226,0.194,0.032,0.5
Amumu,7.0,11.0,5.0,0.581,0.226,0.355,0.714
Anivia,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Annie,1.0,1.0,0.0,0.065,0.032,0.032,0.0
Aphelios,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Ashe,2.0,1.0,1.0,0.097,0.065,0.032,0.5
Aurelion Sol,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Azir,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Bard,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Bel'veth,2.0,4.0,1.0,0.194,0.065,0.129,0.5
Blitzcrank,8.0,18.0,7.0,0.839,0.258,0.581,0.875
Brand,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Briar,0.0,6.0,0.0,0.194,0.0,0.194,0.0
Caitlyn,3.0,0.0,2.0,0.097,0.097,0.0,0.667
Cho'gath,0.0,1.0,0.0,0.032,0.0,0.032,0.0
Diana,1.0,2.0,1.0,0.097,0.032,0.065,1.0
Dr. Mundo,1.0,1.0,0.0,0.065,0.032,0.032,0.0
Draven,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Ekko,2.0,0.0,1.0,0.065,0.065,0.0,0.5
Ezreal,7.0,6.0,3.0,0.419,0.226,0.194,0.429
Fiora,2.0,1.0,1.0,0.097,0.065,0.032,0.5
Fizz,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Galio,3.0,0.0,1.0,0.097,0.097,0.0,0.333
Gangplank,2.0,4.0,2.0,0.194,0.065,0.129,1.0
Garen,6.0,14.0,3.0,0.645,0.194,0.452,0.5
Gnar,4.0,8.0,4.0,0.387,0.129,0.258,1.0
Gragas,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Graves,4.0,9.0,2.0,0.419,0.129,0.29,0.5
Hecarim,3.0,5.0,2.0,0.258,0.097,0.161,0.667
Hwei,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Illaoi,2.0,1.0,1.0,0.097,0.065,0.032,0.5
Irelia,2.0,2.0,1.0,0.129,0.065,0.065,0.5
Jarvan IV,4.0,15.0,2.0,0.613,0.129,0.484,0.5
Jax,5.0,5.0,4.0,0.323,0.161,0.161,0.8
Jayce,2.0,0.0,0.0,0.065,0.065,0.0,0.0
Jhin,10.0,5.0,6.0,0.484,0.323,0.161,0.6
Jinx,6.0,0.0,4.0,0.194,0.194,0.0,0.667
K'Sante,2.0,4.0,1.0,0.194,0.065,0.129,0.5
Kai'sa,7.0,6.0,4.0,0.419,0.226,0.194,0.571
Kalista,4.0,0.0,1.0,0.129,0.129,0.0,0.25
Kayn,1.0,1.0,0.0,0.065,0.032,0.032,0.0
Kennen,3.0,1.0,0.0,0.129,0.097,0.032,0.0
Kha'zix,1.0,5.0,0.0,0.194,0.032,0.161,0.0
Kindred,2.0,1.0,2.0,0.097,0.065,0.032,1.0
Kled,0.0,4.0,0.0,0.129,0.0,0.129,0.0
Lee Sin,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Leona,3.0,0.0,1.0,0.097,0.097,0.0,0.333
Lillia,2.0,0.0,2.0,0.065,0.065,0.0,1.0
Lux,5.0,4.0,4.0,0.29,0.161,0.129,0.8
Malphite,4.0,17.0,3.0,0.677,0.129,0.548,0.75
Malzahar,4.0,3.0,1.0,0.226,0.129,0.097,0.25
Maokai,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Master Yi,2.0,0.0,1.0,0.065,0.065,0.0,0.5
Milio,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Mordekaiser,4.0,9.0,1.0,0.419,0.129,0.29,0.25
Morgana,8.0,3.0,3.0,0.355,0.258,0.097,0.375
Nami,2.0,1.0,1.0,0.097,0.065,0.032,0.5
Nasus,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Nautilus,10.0,1.0,4.0,0.355,0.323,0.032,0.4
Neeko,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Nilah,1.0,9.0,1.0,0.323,0.032,0.29,1.0
Nocturne,2.0,2.0,1.0,0.129,0.065,0.065,0.5
Nunu & Willump,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Olaf,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Orianna,5.0,4.0,3.0,0.29,0.161,0.129,0.6
Ornn,2.0,0.0,1.0,0.065,0.065,0.0,0.5
Pantheon,3.0,4.0,0.0,0.226,0.097,0.129,0.0
Pyke,5.0,0.0,1.0,0.161,0.161,0.0,0.2
Qiyana,1.0,1.0,1.0,0.065,0.032,0.032,1.0
Quinn,2.0,4.0,2.0,0.194,0.065,0.129,1.0
Rakan,2.0,1.0,1.0,0.097,0.065,0.032,0.5
Rek'sai,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Rell,2.0,0.0,1.0,0.065,0.065,0.0,0.5
Rengar,5.0,19.0,3.0,0.774,0.161,0.613,0.6
Riven,2.0,10.0,1.0,0.387,0.065,0.323,0.5
Samira,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Sejuani,4.0,0.0,1.0,0.129,0.129,0.0,0.25
Senna,0.0,1.0,0.0,0.032,0.0,0.032,0.0
Seraphine,8.0,0.0,3.0,0.258,0.258,0.0,0.375
Shaco,2.0,0.0,2.0,0.065,0.065,0.0,1.0
Shen,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Shyvana,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Singed,1.0,7.0,1.0,0.258,0.032,0.226,1.0
Sion,3.0,2.0,2.0,0.161,0.097,0.065,0.667
Sivir,2.0,0.0,1.0,0.065,0.065,0.0,0.5
Swain,7.0,2.0,4.0,0.29,0.226,0.065,0.571
Syndra,4.0,2.0,1.0,0.194,0.129,0.065,0.25
Tahm Kench,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Taliyah,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Thresh,2.0,0.0,1.0,0.065,0.065,0.0,0.5
Tristana,1.0,1.0,0.0,0.065,0.032,0.032,0.0
Trundle,5.0,9.0,3.0,0.452,0.161,0.29,0.6
Tryndamere,2.0,1.0,1.0,0.097,0.065,0.032,0.5
Twisted Fate,1.0,2.0,1.0,0.097,0.032,0.065,1.0
Twitch,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Udyr,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Urgot,4.0,2.0,3.0,0.194,0.129,0.065,0.75
Varus,3.0,1.0,2.0,0.129,0.097,0.032,0.667
Vayne,3.0,2.0,1.0,0.161,0.097,0.065,0.333
Veigar,1.0,0.0,1.0,0.032,0.032,0.0,1.0
Vex,5.0,1.0,1.0,0.194,0.161,0.032,0.2
Vi,6.0,5.0,3.0,0.355,0.194,0.161,0.5
Viego,1.0,1.0,0.0,0.065,0.032,0.032,0.0
Viktor,1.0,2.0,1.0,0.097,0.032,0.065,1.0
Vladimir,1.0,2.0,1.0,0.097,0.032,0.065,1.0
Xayah,6.0,4.0,2.0,0.323,0.194,0.129,0.333
Xerath,1.0,2.0,1.0,0.097,0.032,0.065,1.0
Xin Zhao,3.0,6.0,0.0,0.29,0.097,0.194,0.0
Yasuo,2.0,8.0,2.0,0.323,0.065,0.258,1.0
Yone,2.0,0.0,0.0,0.065,0.065,0.0,0.0
Yorick,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Zac,1.0,0.0,0.0,0.032,0.032,0.0,0.0
Zed,1.0,1.0,0.0,0.065,0.032,0.032,0.0
Ziggs,2.0,0.0,0.0,0.065,0.065,0.0,0.0
Zyra,1.0,0.0,1.0,0.032,0.032,0.0,1.0
