Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Ahri,2.0,2.0,0.0,0.267,0.133,0.133,0.0
Akali,0.0,3.0,0.0,0.2,0.0,0.2,0.0
Alistar,4.0,0.0,2.0,0.267,0.267,0.0,0.5
Amumu,6.0,3.0,4.0,0.6,0.4,0.2,0.667
Anivia,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Annie,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Ashe,1.0,1.0,1.0,0.133,0.067,0.067,1.0
Bel'veth,2.0,3.0,1.0,0.333,0.133,0.2,0.5
Blitzcrank,4.0,7.0,4.0,0.733,0.267,0.467,1.0
Caitlyn,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Cho'gath,0.0,1.0,0.0,0.067,0.0,0.067,0.0
Diana,1.0,1.0,1.0,0.133,0.067,0.067,1.0
Dr. Mundo,1.0,1.0,0.0,0.133,0.067,0.067,0.0
Draven,1.0,0.0,1.0,0.067,0.067,0.0,1.0
Ezreal,5.0,3.0,1.0,0.533,0.333,0.2,0.2
Fiora,2.0,1.0,1.0,0.2,0.133,0.067,0.5
Fizz,1.0,0.0,1.0,0.067,0.067,0.0,1.0
Galio,2.0,0.0,1.0,0.133,0.133,0.0,0.5
Gangplank,1.0,1.0,1.0,0.133,0.067,0.067,1.0
Garen,4.0,2.0,3.0,0.4,0.267,0.133,0.75
Gnar,3.0,2.0,3.0,0.333,0.2,0.133,1.0
Gragas,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Graves,2.0,4.0,0.0,0.4,0.133,0.267,0.0
Hecarim,1.0,4.0,1.0,0.333,0.067,0.267,1.0
Illaoi,1.0,1.0,1.0,0.133,0.067,0.067,1.0
Irelia,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Jarvan IV,3.0,7.0,2.0,0.667,0.2,0.467,0.667
Jax,2.0,1.0,1.0,0.2,0.133,0.067,0.5
Jayce,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Jhin,6.0,3.0,5.0,0.6,0.4,0.2,0.833
Jinx,4.0,0.0,2.0,0.267,0.267,0.0,0.5
K'Sante,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Kai'sa,4.0,4.0,2.0,0.533,0.267,0.267,0.5
Kayn,0.0,1.0,0.0,0.067,0.0,0.067,0.0
Kennen,2.0,1.0,0.0,0.2,0.133,0.067,0.0
Kha'zix,0.0,1.0,0.0,0.067,0.0,0.067,0.0
Kindred,1.0,0.0,1.0,0.067,0.067,0.0,1.0
