Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Kled,0.0,3.0,0.0,0.2,0.0,0.2,0.0
Leona,3.0,0.0,1.0,0.2,0.2,0.0,0.333
Lillia,1.0,0.0,1.0,0.067,0.067,0.0,1.0
Lux,2.0,1.0,2.0,0.2,0.133,0.067,1.0
Malphite,2.0,13.0,2.0,1.0,0.133,0.867,1.0
Malzahar,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Maokai,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Milio,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Mordekaiser,2.0,6.0,1.0,0.533,0.133,0.4,0.5
Morgana,6.0,0.0,2.0,0.4,0.4,0.0,0.333
Nami,1.0,1.0,0.0,0.133,0.067,0.067,0.0
Nautilus,3.0,1.0,1.0,0.267,0.2,0.067,0.333
Neeko,1.0,0.0,1.0,0.067,0.067,0.0,1.0
Nilah,0.0,7.0,0.0,0.467,0.0,0.467,0.0
Nocturne,0.0,1.0,0.0,0.067,0.0,0.067,0.0
Orianna,2.0,1.0,1.0,0.2,0.133,0.067,0.5
Ornn,1.0,0.0,1.0,0.067,0.067,0.0,1.0
Pantheon,0.0,3.0,0.0,0.2,0.0,0.2,0.0
Pyke,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Qiyana,1.0,1.0,1.0,0.133,0.067,0.067,1.0
Quinn,2.0,1.0,2.0,0.2,0.133,0.067,1.0
Rengar,1.0,11.0,1.0,0.8,0.067,0.733,1.0
Riven,1.0,6.0,0.0,0.467,0.067,0.4,0.0
Sejuani,3.0,0.0,1.0,0.2,0.2,0.0,0.333
Seraphine,4.0,0.0,2.0,0.267,0.267,0.0,0.5
Shyvana,1.0,0.0,1.0,0.067,0.067,0.0,1.0
Singed,0.0,3.0,0.0,0.2,0.0,0.2,0.0
Sion,0.0,1.0,0.0,0.067,0.0,0.067,0.0
Swain,4.0,2.0,3.0,0.4,0.267,0.133,0.75
Syndra,3.0,0.0,1.0,0.2,0.2,0.0,0.333
Taliyah,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Thresh,2.0,0.0,1.0,0.133,0.133,0.0,0.5
Tristana,1.0,1.0,0.0,0.133,0.067,0.067,0.0
Trundle,2.0,6.0,1.0,0.533,0.133,0.4,0.5
Tryndamere,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Udyr,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Urgot,1.0,1.0,0.0,0.133,0.067,0.067,0.0
Varus,1.0,1.0,1.0,0.133,0.067,0.067,1.0
Vayne,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Vex,3.0,0.0,1.0,0.2,0.2,0.0,0.333
Vi,3.0,3.0,2.0,0.4,0.2,0.2,0.667
Viego,1.0,1.0,0.0,0.133,0.067,0.067,0.0
Viktor,1.0,0.0,1.0,0.067,0.067,0.0,1.0
Vladimir,1.0,2.0,1.0,0.2,0.067,0.133,1.0
Xayah,4.0,2.0,1.0,0.4,0.267,0.133,0.25
Xerath,1.0,0.0,1.0,0.067,0.067,0.0,1.0
Xin Zhao,2.0,6.0,0.0,0.533,0.133,0.4,0.0
Yasuo,0.0,4.0,0.0,0.267,0.0,0.267,0.0
Zac,1.0,0.0,0.0,0.067,0.067,0.0,0.0
Zed,0.0,1.0,0.0,0.067,0.0,0.067,0.0
Ziggs,1.0,0.0,0.0,0.067,0.067,0.0,0.0
