Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Senna,0.0,1.0,0.0,0.045,0.0,0.045,0.0
Seraphine,5.0,0.0,2.0,0.227,0.227,0.0,0.4
Shaco,1.0,0.0,1.0,0.045,0.045,0.0,1.0
Shen,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Shyvana,1.0,0.0,1.0,0.045,0.045,0.0,1.0
Singed,1.0,6.0,1.0,0.318,0.045,0.273,1.0
Sion,1.0,1.0,1.0,0.091,0.045,0.045,1.0
Sivir,2.0,0.0,1.0,0.091,0.091,0.0,0.5
Swain,4.0,2.0,3.0,0.273,0.182,0.091,0.75
Syndra,4.0,1.0,1.0,0.227,0.182,0.045,0.25
Taliyah,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Thresh,2.0,0.0,1.0,0.091,0.091,0.0,0.5
Tristana,1.0,1.0,0.0,0.091,0.045,0.045,0.0
Trundle,3.0,7.0,2.0,0.455,0.136,0.318,0.667
Tryndamere,2.0,1.0,1.0,0.136,0.091,0.045,0.5
Udyr,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Urgot,2.0,1.0,1.0,0.136,0.091,0.045,0.5
Varus,2.0,1.0,1.0,0.136,0.091,0.045,0.5
Vayne,2.0,0.0,0.0,0.091,0.091,0.0,0.0
Veigar,1.0,0.0,1.0,0.045,0.045,0.0,1.0
Vex,5.0,0.0,1.0,0.227,0.227,0.0,0.2
Vi,5.0,5.0,2.0,0.455,0.227,0.227,0.4
Viego,1.0,1.0,0.0,0.091,0.045,0.045,0.0
Viktor,1.0,1.0,1.0,0.091,0.045,0.045,1.0
Vladimir,1.0,2.0,1.0,0.136,0.045,0.091,1.0
Xayah,4.0,3.0,1.0,0.318,0.182,0.136,0.25
Xerath,1.0,1.0,1.0,0.091,0.045,0.045,1.0
Xin Zhao,2.0,6.0,0.0,0.364,0.091,0.273,0.0
Yasuo,1.0,4.0,1.0,0.227,0.045,0.182,1.0
Zac,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Zed,1.0,1.0,0.0,0.091,0.045,0.045,0.0
Ziggs,2.0,0.0,0.0,0.091,0.091,0.0,0.0
