Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Aatrox,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Ahri,3.0,2.0,0.0,0.227,0.136,0.091,0.0
Akali,0.0,4.0,0.0,0.182,0.0,0.182,0.0
Alistar,6.0,1.0,3.0,0.318,0.273,0.045,0.5
Amumu,6.0,7.0,4.0,0.591,0.273,0.318,0.667
Anivia,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Annie,1.0,1.0,0.0,0.091,0.045,0.045,0.0
Ashe,1.0,1.0,1.0,0.091,0.045,0.045,1.0
Aurelion Sol,1.0,0.0,1.0,0.045,0.045,0.0,1.0
Bard,1.0,0.0,1.0,0.045,0.045,0.0,1.0
Bel'veth,2.0,4.0,1.0,0.273,0.091,0.182,0.5
Blitzcrank,7.0,11.0,6.0,0.818,0.318,0.5,0.857
Briar,0.0,3.0,0.0,0.136,0.0,0.136,0.0
Caitlyn,2.0,0.0,1.0,0.091,0.091,0.0,0.5
Cho'gath,0.0,1.0,0.0,0.045,0.0,0.045,0.0
Diana,1.0,2.0,1.0,0.136,0.045,0.091,1.0
Dr. Mundo,1.0,1.0,0.0,0.091,0.045,0.045,0.0
Draven,1.0,0.0,1.0,0.045,0.045,0.0,1.0
Ezreal,6.0,5.0,2.0,0.5,0.273,0.227,0.333
Fiora,2.0,1.0,1.0,0.136,0.091,0.045,0.5
Fizz,1.0,0.0,1.0,0.045,0.045,0.0,1.0
Galio,2.0,0.0,1.0,0.091,0.091,0.0,0.5
Gangplank,1.0,4.0,1.0,0.227,0.045,0.182,1.0
Garen,6.0,7.0,3.0,0.591,0.273,0.318,0.5
Gnar,4.0,3.0,4.0,0.318,0.182,0.136,1.0
Gragas,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Graves,3.0,5.0,1.0,0.364,0.136,0.227,0.333
Hecarim,1.0,5.0,1.0,0.273,0.045,0.227,1.0
Illaoi,2.0,1.0,1.0,0.136,0.091,0.045,0.5
Irelia,1.0,1.0,0.0,0.091,0.045,0.045,0.0
Jarvan IV,4.0,12.0,2.0,0.727,0.182,0.545,0.5
Jax,3.0,4.0,2.0,0.318,0.136,0.182,0.667
Jayce,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Jhin,7.0,3.0,5.0,0.455,0.318,0.136,0.714
Jinx,5.0,0.0,3.0,0.227,0.227,0.0,0.6
K'Sante,2.0,3.0,1.0,0.227,0.091,0.136,0.5
Kai'sa,7.0,5.0,4.0,0.545,0.318,0.227,0.571
Kalista,2.0,0.0,1.0,0.091,0.091,0.0,0.5
Kayn,1.0,1.0,0.0,0.091,0.045,0.045,0.0
Kennen,3.0,1.0,0.0,0.182,0.136,0.045,0.0
Kha'zix,1.0,2.0,0.0,0.136,0.045,0.091,0.0
Kindred,2.0,1.0,2.0,0.136,0.091,0.045,1.0
Kled,0.0,3.0,0.0,0.136,0.0,0.136,0.0
Leona,3.0,0.0,1.0,0.136,0.136,0.0,0.333
Lillia,2.0,0.0,2.0,0.091,0.091,0.0,1.0
Lux,2.0,3.0,2.0,0.227,0.091,0.136,1.0
Malphite,3.0,15.0,2.0,0.818,0.136,0.682,0.667
Malzahar,2.0,0.0,1.0,0.091,0.091,0.0,0.5
Maokai,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Milio,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Mordekaiser,3.0,7.0,1.0,0.455,0.136,0.318,0.333
Morgana,6.0,1.0,2.0,0.318,0.273,0.045,0.333
Nami,1.0,1.0,0.0,0.091,0.045,0.045,0.0
Nasus,1.0,0.0,1.0,0.045,0.045,0.0,1.0
Nautilus,7.0,1.0,3.0,0.364,0.318,0.045,0.429
Neeko,1.0,0.0,1.0,0.045,0.045,0.0,1.0
Nilah,0.0,9.0,0.0,0.409,0.0,0.409,0.0
Nocturne,1.0,2.0,1.0,0.136,0.045,0.091,1.0
Orianna,4.0,2.0,2.0,0.273,0.182,0.091,0.5
Ornn,1.0,0.0,1.0,0.045,0.045,0.0,1.0
Pantheon,0.0,4.0,0.0,0.182,0.0,0.182,0.0
Pyke,2.0,0.0,0.0,0.091,0.091,0.0,0.0
Qiyana,1.0,1.0,1.0,0.091,0.045,0.045,1.0
Quinn,2.0,2.0,2.0,0.182,0.091,0.091,1.0
Rakan,1.0,0.0,0.0,0.045,0.045,0.0,0.0
Rell,2.0,0.0,1.0,0.091,0.091,0.0,0.5
Rengar,3.0,13.0,2.0,0.727,0.136,0.591,0.667
Riven,2.0,6.0,1.0,0.364,0.091,0.273,0.5
Sejuani,3.0,0.0,1.0,0.136,0.136,0.0,0.333
