Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Ahri,2.0,0.0,0.0,0.2,0.2,0.0,0.0
Akali,0.0,1.0,0.0,0.1,0.0,0.1,0.0
Alistar,3.0,0.0,2.0,0.3,0.3,0.0,0.667
Amumu,4.0,1.0,2.0,0.5,0.4,0.1,0.5
Anivia,1.0,0.0,0.0,0.1,0.1,0.0,0.0
Annie,1.0,0.0,0.0,0.1,0.1,0.0,0.0
Ashe,1.0,1.0,1.0,0.2,0.1,0.1,1.0
Bel'veth,1.0,1.0,1.0,0.2,0.1,0.1,1.0
Blitzcrank,2.0,5.0,2.0,0.7,0.2,0.5,1.0
Cho'gath,0.0,1.0,0.0,0.1,0.0,0.1,0.0
Diana,1.0,1.0,1.0,0.2,0.1,0.1,1.0
Dr. Mundo,1.0,1.0,0.0,0.2,0.1,0.1,0.0
Draven,1.0,0.0,1.0,0.1,0.1,0.0,1.0
Ezreal,5.0,0.0,1.0,0.5,0.5,0.0,0.2
Fiora,1.0,1.0,0.0,0.2,0.1,0.1,0.0
Fizz,1.0,0.0,1.0,0.1,0.1,0.0,1.0
Galio,1.0,0.0,1.0,0.1,0.1,0.0,1.0
Gangplank,1.0,1.0,1.0,0.2,0.1,0.1,1.0
Garen,3.0,2.0,2.0,0.5,0.3,0.2,0.667
Gnar,2.0,1.0,2.0,0.3,0.2,0.1,1.0
Gragas,1.0,0.0,0.0,0.1,0.1,0.0,0.0
Graves,2.0,4.0,0.0,0.6,0.2,0.4,0.0
Hecarim,1.0,2.0,1.0,0.3,0.1,0.2,1.0
Illaoi,0.0,1.0,0.0,0.1,0.0,0.1,0.0
Jarvan IV,3.0,3.0,2.0,0.6,0.3,0.3,0.667
Jax,1.0,1.0,1.0,0.2,0.1,0.1,1.0
Jayce,1.0,0.0,0.0,0.1,0.1,0.0,0.0
Jhin,5.0,3.0,4.0,0.8,0.5,0.3,0.8
Jinx,3.0,0.0,2.0,0.3,0.3,0.0,0.667
Kai'sa,3.0,3.0,1.0,0.6,0.3,0.3,0.333
Kennen,2.0,1.0,0.0,0.3,0.2,0.1,0.0
Kha'zix,0.0,1.0,0.0,0.1,0.0,0.1,0.0
Kindred,1.0,0.0,1.0,0.1,0.1,0.0,1.0
Kled,0.0,3.0,0.0,0.3,0.0,0.3,0.0
Leona,3.0,0.0,1.0,0.3,0.3,0.0,0.333
Lux,2.0,0.0,2.0,0.2,0.2,0.0,1.0
Malphite,2.0,8.0,2.0,1.0,0.2,0.8,1.0
Malzahar,1.0,0.0,0.0,0.1,0.1,0.0,0.0
Maokai,1.0,0.0,0.0,0.1,0.1,0.0,0.0
Mordekaiser,2.0,3.0,1.0,0.5,0.2,0.3,0.5
Morgana,5.0,0.0,2.0,0.5,0.5,0.0,0.4
Nami,1.0,1.0,0.0,0.2,0.1,0.1,0.0
Nautilus,1.0,1.0,0.0,0.2,0.1,0.1,0.0
Neeko,1.0,0.0,1.0,0.1,0.1,0.0,1.0
Nilah,0.0,2.0,0.0,0.2,0.0,0.2,0.0
Nocturne,0.0,1.0,0.0,0.1,0.0,0.1,0.0
Orianna,0.0,1.0,0.0,0.1,0.0,0.1,0.0
Ornn,1.0,0.0,1.0,0.1,0.1,0.0,1.0
Pantheon,0.0,3.0,0.0,0.3,0.0,0.3,0.0
Pyke,1.0,0.0,0.0,0.1,0.1,0.0,0.0
Qiyana,1.0,1.0,1.0,0.2,0.1,0.1,1.0
Rengar,0.0,9.0,0.0,0.9,0.0,0.9,0.0
Riven,0.0,4.0,0.0,0.4,0.0,0.4,0.0
Sejuani,2.0,0.0,1.0,0.2,0.2,0.0,0.5
Seraphine,2.0,0.0,1.0,0.2,0.2,0.0,0.5
Shyvana,1.0,0.0,1.0,0.1,0.1,0.0,1.0
Singed,0.0,3.0,0.0,0.3,0.0,0.3,0.0
Sion,0.0,1.0,0.0,0.1,0.0,0.1,0.0
Swain,2.0,2.0,2.0,0.4,0.2,0.2,1.0
Syndra,2.0,0.0,1.0,0.2,0.2,0.0,0.5
Thresh,2.0,0.0,1.0,0.2,0.2,0.0,0.5
Tristana,1.0,1.0,0.0,0.2,0.1,0.1,0.0
Trundle,1.0,4.0,0.0,0.5,0.1,0.4,0.0
Udyr,1.0,0.0,0.0,0.1,0.1,0.0,0.0
Urgot,1.0,1.0,0.0,0.2,0.1,0.1,0.0
Vex,1.0,0.0,0.0,0.1,0.1,0.0,0.0
Vi,1.0,2.0,0.0,0.3,0.1,0.2,0.0
Vladimir,1.0,2.0,1.0,0.3,0.1,0.2,1.0
Xayah,1.0,1.0,0.0,0.2,0.1,0.1,0.0
Xerath,1.0,0.0,1.0,0.1,0.1,0.0,1.0
Xin Zhao,1.0,6.0,0.0,0.7,0.1,0.6,0.0
Yasuo,0.0,2.0,0.0,0.2,0.0,0.2,0.0
Zac,1.0,0.0,0.0,0.1,0.1,0.0,0.0
Zed,0.0,1.0,0.0,0.1,0.0,0.1,0.0
Ziggs,1.0,0.0,0.0,0.1,0.1,0.0,0.0
