Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Ahri,2.0,0.0,0.0,0.154,0.154,0.0,0.0
Akali,0.0,1.0,0.0,0.077,0.0,0.077,0.0
Alistar,3.0,0.0,2.0,0.231,0.231,0.0,0.667
Amumu,4.0,3.0,2.0,0.538,0.308,0.231,0.5
Anivia,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Annie,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Ashe,1.0,1.0,1.0,0.154,0.077,0.077,1.0
Bel'veth,2.0,1.0,1.0,0.231,0.154,0.077,0.5
Blitzcrank,3.0,6.0,3.0,0.692,0.231,0.462,1.0
Caitlyn,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Cho'gath,0.0,1.0,0.0,0.077,0.0,0.077,0.0
Diana,1.0,1.0,1.0,0.154,0.077,0.077,1.0
Dr. Mundo,1.0,1.0,0.0,0.154,0.077,0.077,0.0
Draven,1.0,0.0,1.0,0.077,0.077,0.0,1.0
Ezreal,5.0,3.0,1.0,0.615,0.385,0.231,0.2
Fiora,2.0,1.0,1.0,0.231,0.154,0.077,0.5
Fizz,1.0,0.0,1.0,0.077,0.077,0.0,1.0
Galio,2.0,0.0,1.0,0.154,0.154,0.0,0.5
Gangplank,1.0,1.0,1.0,0.154,0.077,0.077,1.0
Garen,3.0,2.0,2.0,0.385,0.231,0.154,0.667
Gnar,3.0,1.0,3.0,0.308,0.231,0.077,1.0
Gragas,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Graves,2.0,4.0,0.0,0.462,0.154,0.308,0.0
Hecarim,1.0,4.0,1.0,0.385,0.077,0.308,1.0
Illaoi,0.0,1.0,0.0,0.077,0.0,0.077,0.0
Irelia,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Jarvan IV,3.0,6.0,2.0,0.692,0.231,0.462,0.667
Jax,1.0,1.0,1.0,0.154,0.077,0.077,1.0
Jayce,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Jhin,5.0,3.0,4.0,0.615,0.385,0.231,0.8
Jinx,3.0,0.0,2.0,0.231,0.231,0.0,0.667
Kai'sa,3.0,4.0,1.0,0.538,0.231,0.308,0.333
Kayn,0.0,1.0,0.0,0.077,0.0,0.077,0.0
Kennen,2.0,1.0,0.0,0.231,0.154,0.077,0.0
Kha'zix,0.0,1.0,0.0,0.077,0.0,0.077,0.0
Kindred,1.0,0.0,1.0,0.077,0.077,0.0,1.0
Kled,0.0,3.0,0.0,0.231,0.0,0.231,0.0
Leona,3.0,0.0,1.0,0.231,0.231,0.0,0.333
Lillia,1.0,0.0,1.0,0.077,0.077,0.0,1.0
Lux,2.0,1.0,2.0,0.231,0.154,0.077,1.0
Malphite,2.0,11.0,2.0,1.0,0.154,0.846,1.0
Malzahar,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Maokai,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Milio,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Mordekaiser,2.0,5.0,1.0,0.538,0.154,0.385,0.5
Morgana,5.0,0.0,2.0,0.385,0.385,0.0,0.4
Nami,1.0,1.0,0.0,0.154,0.077,0.077,0.0
Nautilus,2.0,1.0,0.0,0.231,0.154,0.077,0.0
Neeko,1.0,0.0,1.0,0.077,0.077,0.0,1.0
Nilah,0.0,5.0,0.0,0.385,0.0,0.385,0.0
Nocturne,0.0,1.0,0.0,0.077,0.0,0.077,0.0
Orianna,2.0,1.0,1.0,0.231,0.154,0.077,0.5
Ornn,1.0,0.0,1.0,0.077,0.077,0.0,1.0
Pantheon,0.0,3.0,0.0,0.231,0.0,0.231,0.0
Pyke,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Qiyana,1.0,1.0,1.0,0.154,0.077,0.077,1.0
Quinn,1.0,0.0,1.0,0.077,0.077,0.0,1.0
Rengar,1.0,11.0,1.0,0.923,0.077,0.846,1.0
Riven,1.0,4.0,0.0,0.385,0.077,0.308,0.0
Sejuani,3.0,0.0,1.0,0.231,0.231,0.0,0.333
Seraphine,3.0,0.0,2.0,0.231,0.231,0.0,0.667
Shyvana,1.0,0.0,1.0,0.077,0.077,0.0,1.0
Singed,0.0,3.0,0.0,0.231,0.0,0.231,0.0
Sion,0.0,1.0,0.0,0.077,0.0,0.077,0.0
Swain,4.0,2.0,3.0,0.462,0.308,0.154,0.75
Syndra,3.0,0.0,1.0,0.231,0.231,0.0,0.333
Thresh,2.0,0.0,1.0,0.154,0.154,0.0,0.5
Tristana,1.0,1.0,0.0,0.154,0.077,0.077,0.0
Trundle,2.0,6.0,1.0,0.615,0.154,0.462,0.5
Tryndamere,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Udyr,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Urgot,1.0,1.0,0.0,0.154,0.077,0.077,0.0
Varus,1.0,1.0,1.0,0.154,0.077,0.077,1.0
Vayne,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Vex,2.0,0.0,1.0,0.154,0.154,0.0,0.5
Vi,3.0,3.0,2.0,0.462,0.231,0.231,0.667
Vladimir,1.0,2.0,1.0,0.231,0.077,0.154,1.0
Xayah,3.0,2.0,1.0,0.385,0.231,0.154,0.333
Xerath,1.0,0.0,1.0,0.077,0.077,0.0,1.0
Xin Zhao,2.0,6.0,0.0,0.615,0.154,0.462,0.0
Yasuo,0.0,2.0,0.0,0.154,0.0,0.154,0.0
Zac,1.0,0.0,0.0,0.077,0.077,0.0,0.0
Zed,0.0,1.0,0.0,0.077,0.0,0.077,0.0
Ziggs,1.0,0.0,0.0,0.077,0.077,0.0,0.0
