Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Tristana,1.0,1.0,0.0,0.105,0.053,0.053,0.0
Trundle,3.0,7.0,2.0,0.526,0.158,0.368,0.667
Tryndamere,2.0,1.0,1.0,0.158,0.105,0.053,0.5
Udyr,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Urgot,1.0,1.0,0.0,0.105,0.053,0.053,0.0
Varus,1.0,1.0,1.0,0.105,0.053,0.053,1.0
Vayne,2.0,0.0,0.0,0.105,0.105,0.0,0.0
Veigar,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Vex,4.0,0.0,1.0,0.211,0.211,0.0,0.25
Vi,4.0,3.0,2.0,0.368,0.211,0.158,0.5
Viego,1.0,1.0,0.0,0.105,0.053,0.053,0.0
Viktor,1.0,1.0,1.0,0.105,0.053,0.053,1.0
Vladimir,1.0,2.0,1.0,0.158,0.053,0.105,1.0
Xayah,4.0,3.0,1.0,0.368,0.211,0.158,0.25
Xerath,1.0,1.0,1.0,0.105,0.053,0.053,1.0
Xin Zhao,2.0,6.0,0.0,0.421,0.105,0.316,0.0
Yasuo,1.0,4.0,1.0,0.263,0.053,0.211,1.0
Zac,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Zed,0.0,1.0,0.0,0.053,0.0,0.053,0.0
Ziggs,2.0,0.0,0.0,0.105,0.105,0.0,0.0
