Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Ahri,3.0,2.0,0.0,0.263,0.158,0.105,0.0
Akali,0.0,4.0,0.0,0.211,0.0,0.211,0.0
Alistar,4.0,1.0,2.0,0.263,0.211,0.053,0.5
Amumu,6.0,7.0,4.0,0.684,0.316,0.368,0.667
Anivia,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Annie,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Ashe,1.0,1.0,1.0,0.105,0.053,0.053,1.0
Aurelion Sol,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Bard,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Bel'veth,2.0,4.0,1.0,0.316,0.105,0.211,0.5
Blitzcrank,7.0,8.0,6.0,0.789,0.368,0.421,0.857
Caitlyn,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Cho'gath,0.0,1.0,0.0,0.053,0.0,0.053,0.0
Diana,1.0,2.0,1.0,0.158,0.053,0.105,1.0
Dr. Mundo,1.0,1.0,0.0,0.105,0.053,0.053,0.0
Draven,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Ezreal,5.0,3.0,1.0,0.421,0.263,0.158,0.2
Fiora,2.0,1.0,1.0,0.158,0.105,0.053,0.5
Fizz,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Galio,2.0,0.0,1.0,0.105,0.105,0.0,0.5
Gangplank,1.0,2.0,1.0,0.158,0.053,0.105,1.0
Garen,5.0,5.0,3.0,0.526,0.263,0.263,0.6
Gnar,3.0,2.0,3.0,0.263,0.158,0.105,1.0
Gragas,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Graves,2.0,5.0,0.0,0.368,0.105,0.263,0.0
Hecarim,1.0,5.0,1.0,0.316,0.053,0.263,1.0
Illaoi,2.0,1.0,1.0,0.158,0.105,0.053,0.5
Irelia,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Jarvan IV,4.0,9.0,2.0,0.684,0.211,0.474,0.5
Jax,2.0,4.0,1.0,0.316,0.105,0.211,0.5
Jayce,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Jhin,6.0,3.0,5.0,0.474,0.316,0.158,0.833
Jinx,5.0,0.0,3.0,0.263,0.263,0.0,0.6
K'Sante,2.0,0.0,1.0,0.105,0.105,0.0,0.5
Kai'sa,7.0,5.0,4.0,0.632,0.368,0.263,0.571
Kayn,0.0,1.0,0.0,0.053,0.0,0.053,0.0
Kennen,3.0,1.0,0.0,0.211,0.158,0.053,0.0
Kha'zix,0.0,1.0,0.0,0.053,0.0,0.053,0.0
Kindred,2.0,1.0,2.0,0.158,0.105,0.053,1.0
Kled,0.0,3.0,0.0,0.158,0.0,0.158,0.0
Leona,3.0,0.0,1.0,0.158,0.158,0.0,0.333
Lillia,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Lux,2.0,3.0,2.0,0.263,0.105,0.158,1.0
Malphite,2.0,15.0,2.0,0.895,0.105,0.789,1.0
Malzahar,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Maokai,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Milio,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Mordekaiser,3.0,7.0,1.0,0.526,0.158,0.368,0.333
Morgana,6.0,1.0,2.0,0.368,0.316,0.053,0.333
Nami,1.0,1.0,0.0,0.105,0.053,0.053,0.0
Nasus,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Nautilus,5.0,1.0,2.0,0.316,0.263,0.053,0.4
Neeko,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Nilah,0.0,9.0,0.0,0.474,0.0,0.474,0.0
Nocturne,0.0,1.0,0.0,0.053,0.0,0.053,0.0
Orianna,3.0,1.0,1.0,0.211,0.158,0.053,0.333
Ornn,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Pantheon,0.0,4.0,0.0,0.211,0.0,0.211,0.0
Pyke,2.0,0.0,0.0,0.105,0.105,0.0,0.0
Qiyana,1.0,1.0,1.0,0.105,0.053,0.053,1.0
Quinn,2.0,2.0,2.0,0.211,0.105,0.105,1.0
Rakan,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Rell,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Rengar,3.0,13.0,2.0,0.842,0.158,0.684,0.667
Riven,1.0,6.0,0.0,0.368,0.053,0.316,0.0
Sejuani,3.0,0.0,1.0,0.158,0.158,0.0,0.333
Senna,0.0,1.0,0.0,0.053,0.0,0.053,0.0
Seraphine,4.0,0.0,2.0,0.211,0.211,0.0,0.5
Shaco,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Shen,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Shyvana,1.0,0.0,1.0,0.053,0.053,0.0,1.0
Singed,1.0,3.0,1.0,0.211,0.053,0.158,1.0
Sion,1.0,1.0,1.0,0.105,0.053,0.053,1.0
Sivir,2.0,0.0,1.0,0.105,0.105,0.0,0.5
Swain,4.0,2.0,3.0,0.316,0.211,0.105,0.75
Syndra,3.0,0.0,1.0,0.158,0.158,0.0,0.333
Taliyah,1.0,0.0,0.0,0.053,0.053,0.0,0.0
Thresh,2.0,0.0,1.0,0.105,0.105,0.0,0.5
